,volcano,hazard,VEI,prob,mass,buffer,volume,length_primary,length_unclassified,length_residential,length_service,length_living_street,length_tertiary,length_secondary,length_trunk,length_trunk_link,length_primary_link,length_tertiary_link,length_motorway,length_motorway_link,length_secondary_link,length_road,month,length_motorcycle_link
16,Cereme,Tephra,5.0,90,1.0,,,3235.17,22468.19,88768.13,13465.41,3034.58,7806.06,2917.35,2214.03,62.13,58.77,15.5,1384.96,498.9,19.19,0.89,1,
17,Cereme,Tephra,5.0,90,100.0,,,226.45,1296.03,4881.85,258.52,9.19,342.84,94.0,106.98,0.76,0.36,0.02,45.58,7.41,,,1,
0,Cereme,Tephra,3.0,10,1.0,,,220.63,1118.78,4703.65,261.2,11.98,284.08,79.46,26.62,0.1,1.46,0.12,35.68,7.06,,,2,
1,Cereme,Tephra,3.0,10,100.0,,,,16.84,31.73,4.5,,,,,,,,,,,,2,
2,Cereme,Tephra,3.0,50,1.0,,,169.98,696.85,2738.13,143.1,10.2,190.27,40.28,,,0.3,0.01,,,,,2,
3,Cereme,Tephra,3.0,50,100.0,,,,,13.63,0.82,,,,,,,,,,,,2,
4,Cereme,Tephra,3.0,90,1.0,,,100.89,385.34,1311.98,78.95,2.26,123.52,32.66,,,0.01,,,,,,2,
5,Cereme,Tephra,3.0,90,100.0,,,,,4.32,,,,,,,,,,,,,2,
6,Cereme,Tephra,4.0,10,1.0,,,821.87,7370.21,26431.43,2558.52,187.1,1888.41,722.87,616.13,7.28,8.81,1.83,444.12,91.56,1.67,,2,
7,Cereme,Tephra,4.0,10,100.0,,,138.28,544.49,1780.81,104.66,3.44,158.73,32.66,,,0.11,,,,,,2,
8,Cereme,Tephra,4.0,50,1.0,,,419.22,5144.76,17169.15,1397.09,61.3,1128.06,441.23,410.79,5.16,2.26,0.58,250.4,39.7,0.86,,2,
9,Cereme,Tephra,4.0,50,100.0,,,79.45,342.87,1038.45,63.16,1.79,107.41,7.79,,,0.01,,,,,,2,
10,Cereme,Tephra,4.0,90,1.0,,,295.82,3092.75,10243.17,758.32,18.93,626.94,263.12,252.01,2.01,1.6,0.31,159.43,30.27,0.15,,2,
11,Cereme,Tephra,4.0,90,100.0,,,46.98,172.57,452.74,29.46,,60.7,0.95,,,,,,,,,2,
12,Cereme,Tephra,5.0,10,1.0,,,3364.42,26377.97,93080.73,13650.22,2979.57,8461.11,3061.98,2665.15,63.37,53.04,14.52,1397.94,492.58,18.76,4.08,2,
13,Cereme,Tephra,5.0,10,100.0,,,559.44,3722.5,17375.06,1697.99,152.19,1165.07,524.88,339.65,3.75,6.93,1.36,244.11,67.75,1.21,,2,
14,Cereme,Tephra,5.0,50,1.0,,,3509.06,26477.1,96296.74,14443.97,3065.89,8362.86,3142.17,2565.64,63.22,58.85,15.8,1470.31,521.7,19.63,2.16,2,
15,Cereme,Tephra,5.0,50,100.0,,,304.17,2205.72,8884.19,626.48,16.13,563.88,204.86,204.6,2.09,0.46,0.04,96.19,13.82,0.14,,2,
16,Cereme,Tephra,5.0,90,1.0,,,3148.88,21521.09,86607.5,13485.03,2970.34,7565.8,2865.41,2080.66,61.6,58.9,15.4,1339.51,488.65,19.24,0.01,2,
17,Cereme,Tephra,5.0,90,100.0,,,170.44,1175.02,4249.93,214.08,2.08,312.94,83.37,120.78,0.76,0.17,0.02,45.58,7.41,,,2,
0,Cereme,Tephra,3.0,10,1.0,,,220.34,1070.13,4147.98,239.49,10.53,271.28,80.13,32.59,0.1,0.42,0.04,28.9,4.02,,,3,
1,Cereme,Tephra,3.0,10,100.0,,,,16.84,32.3,3.37,,,,,,,,,,,,3,
2,Cereme,Tephra,3.0,50,1.0,,,172.15,630.03,2403.93,120.29,5.57,197.14,40.28,,,0.25,,,,,,3,
3,Cereme,Tephra,3.0,50,100.0,,,,10.34,22.59,3.29,,,,,,,,,,,,3,
4,Cereme,Tephra,3.0,90,1.0,,,100.33,411.76,1328.53,77.11,2.89,123.94,32.66,,,0.01,,,,,,3,
5,Cereme,Tephra,3.0,90,100.0,,,,,6.04,,,,,,,,,,,,,3,
6,Cereme,Tephra,4.0,10,1.0,,,732.21,6501.76,23803.58,2251.08,181.92,1608.1,669.27,508.61,6.92,8.76,0.96,349.34,80.08,1.67,,3,
7,Cereme,Tephra,4.0,10,100.0,,,131.57,465.9,1639.0,82.12,1.79,143.3,32.27,,,0.01,,,,,,3,
8,Cereme,Tephra,4.0,50,1.0,,,602.27,5369.18,19010.23,1733.9,134.4,1228.83,530.95,390.76,5.36,6.95,0.79,248.35,46.59,1.35,,3,
9,Cereme,Tephra,4.0,50,100.0,,,73.47,310.46,952.76,52.67,0.7,95.56,8.47,,,0.01,,,,,,3,
10,Cereme,Tephra,4.0,90,1.0,,,336.46,3549.41,12548.9,965.49,31.38,839.46,322.13,292.66,3.13,1.77,0.33,182.77,30.34,0.15,,3,
11,Cereme,Tephra,4.0,90,100.0,,,56.78,203.9,550.02,34.02,0.27,71.08,3.34,,,0.01,,,,,,3,
12,Cereme,Tephra,5.0,10,1.0,,,3374.08,26371.45,94544.41,14038.31,3022.08,8388.23,3086.71,2661.05,64.09,53.58,15.45,1467.79,521.65,18.94,4.08,3,
13,Cereme,Tephra,5.0,10,100.0,,,528.47,3267.84,13686.33,1227.06,110.25,880.29,400.99,249.12,2.99,5.78,0.38,137.17,26.86,1.02,,3,
14,Cereme,Tephra,5.0,50,1.0,,,3471.61,25936.48,94098.29,14083.28,3061.15,8154.52,3040.07,2463.21,62.37,58.97,15.71,1443.64,511.17,19.36,0.01,3,
15,Cereme,Tephra,5.0,50,100.0,,,284.17,2266.4,9223.69,712.85,18.31,618.02,241.74,207.63,2.31,0.34,0.09,92.82,14.76,0.41,,3,
16,Cereme,Tephra,5.0,90,1.0,,,3272.73,23140.93,89770.67,13752.89,3034.12,7778.29,2978.33,2134.78,61.57,59.07,15.43,1369.82,499.75,19.24,0.01,3,
17,Cereme,Tephra,5.0,90,100.0,,,212.13,1362.94,5128.4,271.59,3.08,361.52,117.16,141.53,1.01,0.19,0.02,55.38,7.95,,,3,
0,Cereme,Tephra,3.0,10,1.0,,,183.94,820.08,3008.16,166.56,5.12,231.12,65.08,26.62,0.1,0.2,0.02,,,,,4,
1,Cereme,Tephra,3.0,10,100.0,,,,16.84,39.3,3.37,,,,,,,,,,,,4,
2,Cereme,Tephra,3.0,50,1.0,,,139.23,592.51,2106.25,103.53,2.89,185.6,33.19,4.97,,0.03,,,,,,4,
3,Cereme,Tephra,3.0,50,100.0,,,,16.84,29.8,3.37,,,,,,,,,,,,4,
4,Cereme,Tephra,3.0,90,1.0,,,110.24,443.86,1466.98,67.0,1.68,111.14,32.27,,,0.01,,,,,,4,
5,Cereme,Tephra,3.0,90,100.0,,,,16.84,22.97,3.29,,,,,,,,,,,,4,
6,Cereme,Tephra,4.0,10,1.0,,,715.24,6464.87,23033.73,2085.7,175.19,1539.98,642.75,483.14,6.62,8.17,0.92,296.88,64.52,1.49,,4,
7,Cereme,Tephra,4.0,10,100.0,,,115.43,403.98,1368.71,63.31,0.79,114.57,32.27,,,0.01,,,,,,4,
8,Cereme,Tephra,4.0,50,1.0,,,465.93,4926.57,17373.33,1303.64,63.81,1158.87,434.27,375.86,4.97,2.89,0.62,209.91,37.84,0.87,,4,
9,Cereme,Tephra,4.0,50,100.0,,,85.7,309.94,910.7,51.65,0.49,87.06,8.58,,,0.01,,,,,,4,
