,volcano,hazard,VEI,prob,mass,buffer,volume,pop_count,area_crops,area_urban
0,Dieng_Volcanic_Complex,Tephra,5,90.0,100,,,452359.2582,110.4192,75.5001
0,Dieng_Volcanic_Complex,BAF,,10.0,,300,9800000,501.86789999999996,0.7209,0.4536
0,Dieng_Volcanic_Complex,BAF,,50.0,,300,9800000,433.8198,0.648,0.3645
0,Dieng_Volcanic_Complex,BAF,,90.0,,300,9800000,0.0,0.0081,0.0
0,Dieng_Volcanic_Complex,BAF,,10.0,,990,9800000,5116.2597000000005,1.4661,0.8748
0,Dieng_Volcanic_Complex,BAF,,50.0,,990,9800000,3737.3724,1.2555,0.8181
0,Dieng_Volcanic_Complex,BAF,,90.0,,990,9800000,0.0,0.0,0.0
0,Dieng_Volcanic_Complex,BAF,,10.0,,300,450000,0.0,0.1215,0.0486
0,Dieng_Volcanic_Complex,BAF,,50.0,,300,450000,0.0,0.0324,0.0081
0,Dieng_Volcanic_Complex,BAF,,90.0,,300,450000,0.0,0.0,0.0
0,Dieng_Volcanic_Complex,BAF,,10.0,,990,450000,426.9996,0.4212,0.081
0,Dieng_Volcanic_Complex,BAF,,50.0,,990,450000,34.263000000000005,0.2511,0.0648
0,Dieng_Volcanic_Complex,BAF,,90.0,,990,450000,0.0,0.0,0.0
0,Dieng_Volcanic_Complex,PDC,3,10.0,,,,607895.5797000001,118.908,69.3846
0,Dieng_Volcanic_Complex,PDC,3,50.0,,,,174397.7709,31.5738,15.9408
0,Dieng_Volcanic_Complex,PDC,3,90.0,,,,16481.5479,5.3865,2.7297
0,Dieng_Volcanic_Complex,PDC,4,10.0,,,,897583.3074000002,210.2922,121.4352
0,Dieng_Volcanic_Complex,PDC,4,50.0,,,,355009.37580000004,56.6838,30.2049
0,Dieng_Volcanic_Complex,PDC,4,90.0,,,,139391.2152,25.7742,12.1905
0,Dieng_Volcanic_Complex,PDC,5,10.0,,,,1574550.0333,412.3224,227.2131
0,Dieng_Volcanic_Complex,PDC,5,50.0,,,,538339.9401,94.6647,54.0351
0,Dieng_Volcanic_Complex,PDC,5,90.0,,,,249448.90409999999,43.5699,20.898
0,Dieng_Volcanic_Complex,LC,3,10.0,,,,693.6434999999999,0.0,0.0
