,volcano,hazard,VEI,prob,mass,buffer,volume,pop_count,area_crops,area_urban,RNDS,buildingsLoss,month
20,Cereme,Tephra,4.0,50,,,,,,,66630849.9,21.61,1
21,Cereme,Tephra,4.0,50,1.0,,,9982945.0,3106.0,1221.0,,,1
22,Cereme,Tephra,4.0,50,5.0,,,4070990.0,1451.0,569.0,,,1
23,Cereme,Tephra,4.0,50,50.0,,,793390.0,345.0,143.0,,,1
24,Cereme,Tephra,4.0,50,100.0,,,378799.0,178.0,76.0,,,1
25,Cereme,Tephra,4.0,90,,,,,,,40486190.40000001,12.33,1
26,Cereme,Tephra,4.0,90,1.0,,,6300959.0,2277.0,797.0,,,1
27,Cereme,Tephra,4.0,90,5.0,,,2543164.0,983.0,371.0,,,1
28,Cereme,Tephra,4.0,90,50.0,,,464211.0,217.0,96.0,,,1
29,Cereme,Tephra,4.0,90,100.0,,,192548.0,99.0,44.0,,,1
30,Cereme,Tephra,5.0,10,,,,,,,972890601.0,2659.86,1
31,Cereme,Tephra,5.0,10,1.0,,,62456765.0,13330.0,6417.0,,,1
32,Cereme,Tephra,5.0,10,5.0,,,35515411.0,9118.0,3908.0,,,1
33,Cereme,Tephra,5.0,10,50.0,,,13242080.0,3075.0,1481.0,,,1
34,Cereme,Tephra,5.0,10,100.0,,,9043440.0,1866.0,1029.0,,,1
35,Cereme,Tephra,5.0,50,,,,,,,623795495.4,1331.56,1
36,Cereme,Tephra,5.0,50,1.0,,,59656481.0,12425.0,6123.0,,,1
37,Cereme,Tephra,5.0,50,5.0,,,25932149.0,7396.0,2790.0,,,1
38,Cereme,Tephra,5.0,50,50.0,,,10587310.0,2197.0,1178.0,,,1
39,Cereme,Tephra,5.0,50,100.0,,,4485384.0,1358.0,573.0,,,1
40,Cereme,Tephra,5.0,90,,,,,,,514678297.4,439.76,1
41,Cereme,Tephra,5.0,90,1.0,,,51836938.0,10446.0,5458.0,,,1
42,Cereme,Tephra,5.0,90,5.0,,,18503985.0,5453.0,2040.0,,,1
43,Cereme,Tephra,5.0,90,50.0,,,4108852.0,1441.0,543.0,,,1
44,Cereme,Tephra,5.0,90,100.0,,,2226978.0,840.0,299.0,,,1
0,Cereme,Tephra,3.0,10,,,,,,,8605676.600000001,0.27,2
1,Cereme,Tephra,3.0,10,1.0,,,1940571.0,710.0,313.0,,,2
2,Cereme,Tephra,3.0,10,5.0,,,445330.0,172.0,97.0,,,2
3,Cereme,Tephra,3.0,10,50.0,,,21978.0,11.0,6.0,,,2
4,Cereme,Tephra,3.0,10,100.0,,,1431.0,2.0,1.0,,,2
5,Cereme,Tephra,3.0,50,,,,,,,2833817.9,0.21,2
6,Cereme,Tephra,3.0,50,1.0,,,950339.0,398.0,191.0,,,2
7,Cereme,Tephra,3.0,50,5.0,,,210362.0,73.0,53.0,,,2
8,Cereme,Tephra,3.0,50,50.0,,,2516.0,3.0,1.0,,,2
9,Cereme,Tephra,3.0,50,100.0,,,144.0,0.0,0.0,,,2
10,Cereme,Tephra,3.0,90,,,,,,,1653279.9,0.17,2
11,Cereme,Tephra,3.0,90,1.0,,,363858.0,197.0,94.0,,,2
12,Cereme,Tephra,3.0,90,5.0,,,26595.0,26.0,14.0,,,2
13,Cereme,Tephra,3.0,90,50.0,,,388.0,1.0,0.0,,,2
14,Cereme,Tephra,3.0,90,100.0,,,0.0,0.0,0.0,,,2
15,Cereme,Tephra,4.0,10,,,,,,,109234265.20000002,49.67,2
16,Cereme,Tephra,4.0,10,1.0,,,15427665.0,4238.0,1743.0,,,2
17,Cereme,Tephra,4.0,10,5.0,,,6530605.0,2133.0,842.0,,,2
18,Cereme,Tephra,4.0,10,50.0,,,1369036.0,523.0,205.0,,,2
19,Cereme,Tephra,4.0,10,100.0,,,722363.0,321.0,119.0,,,2
20,Cereme,Tephra,4.0,50,,,,,,,57524240.6,23.9,2
21,Cereme,Tephra,4.0,50,1.0,,,8898300.0,3113.0,1117.0,,,2
22,Cereme,Tephra,4.0,50,5.0,,,3734669.0,1392.0,512.0,,,2
23,Cereme,Tephra,4.0,50,50.0,,,750758.0,344.0,133.0,,,2
24,Cereme,Tephra,4.0,50,100.0,,,339255.0,172.0,68.0,,,2
25,Cereme,Tephra,4.0,90,,,,,,,31889656.1,13.04,2
26,Cereme,Tephra,4.0,90,1.0,,,5055523.0,2039.0,651.0,,,2
27,Cereme,Tephra,4.0,90,5.0,,,2108444.0,874.0,282.0,,,2
28,Cereme,Tephra,4.0,90,50.0,,,296645.0,188.0,60.0,,,2
29,Cereme,Tephra,4.0,90,100.0,,,98637.0,89.0,28.0,,,2
30,Cereme,Tephra,5.0,10,,,,,,,1016663402.1,2869.81,2
31,Cereme,Tephra,5.0,10,1.0,,,61775007.0,13089.0,6332.0,,,2
32,Cereme,Tephra,5.0,10,5.0,,,44940267.0,9614.0,4815.0,,,2
33,Cereme,Tephra,5.0,10,50.0,,,13219671.0,3429.0,1515.0,,,2
34,Cereme,Tephra,5.0,10,100.0,,,9700095.0,1994.0,1065.0,,,2
35,Cereme,Tephra,5.0,50,,,,,,,611776135.6000001,1148.42,2
36,Cereme,Tephra,5.0,50,1.0,,,59131154.0,12216.0,6059.0,,,2
37,Cereme,Tephra,5.0,50,5.0,,,25271878.0,7690.0,2842.0,,,2
38,Cereme,Tephra,5.0,50,50.0,,,10113842.0,2173.0,1121.0,,,2
39,Cereme,Tephra,5.0,50,100.0,,,4095119.0,1336.0,521.0,,,2
40,Cereme,Tephra,5.0,90,,,,,,,501196371.9999998,489.67,2
41,Cereme,Tephra,5.0,90,1.0,,,50128846.0,9863.0,5356.0,,,2
42,Cereme,Tephra,5.0,90,5.0,,,17021490.0,5374.0,1990.0,,,2
43,Cereme,Tephra,5.0,90,50.0,,,3962932.0,1372.0,475.0,,,2
44,Cereme,Tephra,5.0,90,100.0,,,2059571.0,814.0,249.0,,,2
0,Cereme,Tephra,3.0,10,,,,,,,6642803.6000000015,0.28,3
1,Cereme,Tephra,3.0,10,1.0,,,1768926.0,656.0,278.0,,,3
2,Cereme,Tephra,3.0,10,5.0,,,415437.0,168.0,88.0,,,3
3,Cereme,Tephra,3.0,10,50.0,,,8661.0,11.0,4.0,,,3
4,Cereme,Tephra,3.0,10,100.0,,,1346.0,3.0,1.0,,,3
5,Cereme,Tephra,3.0,50,,,,,,,2644840.3,0.22,3
6,Cereme,Tephra,3.0,50,1.0,,,917507.0,396.0,164.0,,,3
7,Cereme,Tephra,3.0,50,5.0,,,174872.0,87.0,45.0,,,3
8,Cereme,Tephra,3.0,50,50.0,,,3261.0,5.0,2.0,,,3
9,Cereme,Tephra,3.0,50,100.0,,,600.0,1.0,1.0,,,3
10,Cereme,Tephra,3.0,90,,,,,,,1650840.2000000004,0.17,3
11,Cereme,Tephra,3.0,90,1.0,,,420312.0,230.0,94.0,,,3
12,Cereme,Tephra,3.0,90,5.0,,,32870.0,29.0,17.0,,,3
13,Cereme,Tephra,3.0,90,50.0,,,1031.0,2.0,1.0,,,3
14,Cereme,Tephra,3.0,90,100.0,,,38.0,0.0,0.0,,,3
15,Cereme,Tephra,4.0,10,,,,,,,96792713.40000002,51.46,3
16,Cereme,Tephra,4.0,10,1.0,,,13656383.0,3776.0,1576.0,,,3
17,Cereme,Tephra,4.0,10,5.0,,,5433973.0,1921.0,714.0,,,3
18,Cereme,Tephra,4.0,10,50.0,,,1233628.0,473.0,184.0,,,3
19,Cereme,Tephra,4.0,10,100.0,,,622653.0,297.0,106.0,,,3
20,Cereme,Tephra,4.0,50,,,,,,,67863537.5,29.0,3
21,Cereme,Tephra,4.0,50,1.0,,,10579431.0,3114.0,1226.0,,,3
22,Cereme,Tephra,4.0,50,5.0,,,3619123.0,1403.0,487.0,,,3
23,Cereme,Tephra,4.0,50,50.0,,,727690.0,349.0,116.0,,,3
24,Cereme,Tephra,4.0,50,100.0,,,298005.0,187.0,59.0,,,3
25,Cereme,Tephra,4.0,90,,,,,,,38270209.4,17.13,3
26,Cereme,Tephra,4.0,90,1.0,,,6286730.0,2264.0,802.0,,,3
27,Cereme,Tephra,4.0,90,5.0,,,2440463.0,969.0,331.0,,,3
28,Cereme,Tephra,4.0,90,50.0,,,360320.0,222.0,68.0,,,3
29,Cereme,Tephra,4.0,90,100.0,,,141160.0,113.0,35.0,,,3
30,Cereme,Tephra,5.0,10,,,,,,,828662526.2,2448.38,3
31,Cereme,Tephra,5.0,10,1.0,,,60651632.0,12786.0,6181.0,,,3
32,Cereme,Tephra,5.0,10,5.0,,,34243270.0,9024.0,3867.0,,,3
33,Cereme,Tephra,5.0,10,50.0,,,12250180.0,3043.0,1385.0,,,3
34,Cereme,Tephra,5.0,10,100.0,,,7634904.0,1788.0,838.0,,,3
35,Cereme,Tephra,5.0,50,,,,,,,622530699.0,1387.8,3
